2022-09-22 16:06:23,723 - maincontroller.py - line:68 - INFO| DJI_20220905162320_0005_Z_航点5.JPG下载成功
2022-09-22 16:06:23,730 - sql_operations.py - line:31 - INFO| 航线数据已存在
2022-09-22 16:06:23,738 - sql_operations.py - line:42 - INFO| 开始向任务数据表插入数据
2022-09-22 16:06:23,757 - sql_operations.py - line:51 - INFO| 任务数据插入成功
2022-09-22 16:06:23,770 - maincontroller.py - line:76 - INFO| 开始执行自动对比功能
2022-09-22 16:06:26,100 - maincontroller.py - line:66 - INFO| 开始下载文件: DJI_20220905162300_0004_Z_航点4.JPG
2022-09-22 16:06:31,506 - maincontroller.py - line:68 - INFO| DJI_20220905162300_0004_Z_航点4.JPG下载成功
2022-09-22 16:06:31,520 - sql_operations.py - line:31 - INFO| 航线数据已存在
2022-09-22 16:06:31,526 - sql_operations.py - line:53 - INFO| 任务数据已存在
2022-09-22 16:06:31,547 - maincontroller.py - line:76 - INFO| 开始执行自动对比功能
2022-09-22 16:06:33,694 - maincontroller.py - line:66 - INFO| 开始下载文件: DJI_20220905162246_0003_Z_航点3.JPG
2022-09-22 16:06:38,409 - maincontroller.py - line:68 - INFO| DJI_20220905162246_0003_Z_航点3.JPG下载成功
2022-09-22 16:06:38,415 - sql_operations.py - line:31 - INFO| 航线数据已存在
2022-09-22 16:06:38,422 - sql_operations.py - line:53 - INFO| 任务数据已存在
2022-09-22 16:06:38,444 - maincontroller.py - line:76 - INFO| 开始执行自动对比功能
2022-09-22 16:06:41,707 - maincontroller.py - line:66 - INFO| 开始下载文件: DJI_20220905162233_0002_Z_航点2.JPG
2022-09-22 16:06:51,227 - maincontroller.py - line:68 - INFO| DJI_20220905162233_0002_Z_航点2.JPG下载成功
2022-09-22 16:06:51,233 - sql_operations.py - line:31 - INFO| 航线数据已存在
2022-09-22 16:06:51,239 - sql_operations.py - line:53 - INFO| 任务数据已存在
2022-09-22 16:06:51,266 - maincontroller.py - line:76 - INFO| 开始执行自动对比功能
2022-09-22 16:09:02,773 - maincontroller.py - line:362 - INFO| [+] AGX API is running [2022-09-22 16:09:02.773071]
